--------- beginning of main
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Food Food (576p) [Not 24/7]', url='{"url":"http://14.199.164.20:4001/play/a0qx/index.m3u8","title":"Food Food (576p) [Not 24/7]","poster":"https://i.imgur.com/J930pA1.png","nation":"Cooking;Lifestyle","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Movies;News' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Indywood TV (720p)', url='{"url":"https://43wrzjnpqoxe-hls-live.wmncdn.net/indywood/indywoodtv/index.m3u8","title":"Indywood TV (720p)","poster":"https://i.ibb.co/jT3NCPp/logo-tv.png","nation":"Movies;News","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Comedy' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Kalaignar Sirippoli (576p)', url='{"url":"http://103.199.161.254/Content/kalaignarsirippoli/Live/Channel(Kalaignarsirippoli)/index.m3u8","title":"Kalaignar Sirippoli (576p)","poster":"https://i.imgur.com/nsplwFc.png","nation":"Comedy","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Education' | items count: 2
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='KITE Victers (Kerala) (720p) [Not 24/7]', url='{"url":"https://932y4x26ljv8-hls-live.5centscdn.com/victers/tv.stream/playlist.m3u8","title":"KITE Victers (Kerala) (720p) [Not 24/7]","poster":"https://i.imgur.com/kj4OEsb.png","nation":"Education","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Legislative' | items count: 2
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Lok Sabha TV (1080p)', url='{"url":"https://playhls.media.nic.in/hls/live/lstv/lstv.m3u8","title":"Lok Sabha TV (1080p)","poster":"https://i.imgur.com/QavgfiK.png","nation":"Legislative","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Family' | items count: 2
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Nambikkai TV (576p)', url='{"url":"https://live.wmncdn.net/nambikkaitv/live.stream/index.m3u8","title":"Nambikkai TV (576p)","poster":"https://i.imgur.com/xnjkUOs.png","nation":"Family","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Culture;Religious' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Sanskar TV (1080p)', url='{"url":"https://d26idhjf0y1p2g.cloudfront.net/out/v1/cd66dd25b9774cb29943bab54bbf3e2f/index.m3u8","title":"Sanskar TV (1080p)","poster":"https://i.imgur.com/SDkiMvR.png","nation":"Culture;Religious","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Sports' | items count: 19
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Sony Six HD (1080p)', url='{"url":"http://103.81.104.118/hls/stream10.m3u8","title":"Sony Six HD (1080p)","poster":"https://i.imgur.com/40BbQUd.png","nation":"Sports","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Travel' | items count: 1
